Title,Publisher,"Field of Research",Rating,ISSN,"ISSN Online",Website
"Journal of Public Economics",Elsevier,3801,A*,0047-2727,1879-2316,
"Journal of Public Finance and Public Choice","Bristol University Press",3899,C,2515-6918,2515-6926,
"Journal of Public Policy","Cambridge University Press",3599,B,0143-814X,1469-7815,http://journals.cambridge.org/
"Journal of Public Policy and Marketing","Sage Publications",3506,A,0743-9156,1547-7207,
"Journal of Public Relations Education ",AEJMC,3506,C,2573-1742,,
"Journal of Public Relations Research","Taylor & Francis Online",3506,B,1062-726X,1532-754X,
"Journal of Public Transportation","University of South Florida",3509,B,1077-291X,2375-0901,
"Journal of Purchasing and Supply Management",Elsevier,3509,A,1478-4092,1873-6505,
"Journal of Quality Assurance in Hospitality & Tourism","Taylor & Francis Online",3508,B,1528-008X,1528-0098,
"Journal of Quality in Maintenance Engineering","Emerald Group Publishing Limited",3504,B,1355-2511,1758-7832,
"Journal of Quality Technology","Taylor & Francis Online",3503,A,0022-4065,2575-6230,
"Journal of Quantitative Economics","Springer International Publishing",3802,B,0971-1554,2364-1045,
"Journal of Real Estate Finance and Economics","Springer International Publishing",3504,A,0895-5638,1573-045X,http://www.springerlink.com/
"Journal of Real Estate Literature","American Real Estate Society",3504,C,0927-7544,1573-8809,
"Journal of Real Estate Portfolio Management","American Real Estate Society",3504,B,1083-5547,,
"Journal of Real Estate Practice and Education","American Real Estate Society",3504,C,1521-4842,,
"Journal of Real Estate Research","American Real Estate Society",3504,B,0896-5803,,http://www.abe.pl/en/journal/11043/journal-of-real-estate-research
"Journal of Regional Science","Wiley-Blackwell Publishing",3801,A,0022-4146,1467-9787,
"Journal of Regulatory Economics","Springer International Publishing",3801,A,0922-680X,1573-0468,http://www.springerlink.com/
"Journal of Relationship Marketing","Taylor & Francis Online",3506,B,1533-2667,1533-2675,
"Journal of Research and Practice in Information Technology","Australian Computer Society",4609,C,1443-458X,0004-8917,http://www.acs.org.au/jrpit/index.html
"Journal of Research for Consumers","University of Canterbury",3506,C,1444-6359,,
"Journal of Research in Interactive Marketing","Emerald Group Publishing Limited",3506,B,2040-7122,2040-7130,
"Journal of Research in Marketing and Entrepreneurship","Emerald Group Publishing",3506,B,1471-5201,1471-521X,
"Journal of Research in Personality",Elsevier,3507,A,0092-6566,1095-7251,http://www.elsevier.com/wps/find/journaldescription.cws_home/622897/description
"Journal of Research on Technology in Education","Taylor & Francis Online",4609,C,1539-1523,1945-0818,
"Journal of Retailing",Elsevier,3506,A*,0022-4359,1873-3271,
"Journal of Retailing and Consumer Services",Elsevier,3506,A,0969-6989,1873-1384,http://www.journals.elsevier.com/journal-of-retailing-and-consumer-services
"Journal of Retirement","Pageant Media",3502,B,2326-6899,2326-6902,
"Journal of Revenue & Pricing Management","Springer International Publishing",3506,B,1476-6930,1477-657X,http://www.springer.com/business+%26+management/journal/41272
"Journal of Risk","Incisive Risk Information Limited",3502,B,1465-1211,1755-2842,http://www.thejournalofrisk.com/
"Journal of Risk and Financial Management",MDPI,3502,B,1911-8066,1911-8074,
"Journal of Risk and Insurance","Wiley-Blackwell Publishing",3502,A,0022-4367,1539-6975,
"Journal of Risk and Uncertainty","Springer International Publishing",3803,A*,0895-5646,1573-0476,
"Journal of Risk Management in Financial Institutions","Henry Stewart Publications",3502,C,1752-8887,1752-8895,
"Journal of Risk Research","Taylor & Francis Online",3502,C,1366-9877,1466-4461,http://www.tandfonline.com/rjrr
"Journal of Safety Research",Elsevier,3509,A,0022-4375,1879-1247,http://www.journals.elsevier.com/journal-of-safety-research
"Journal of Scheduling","Springer International Publishing",3509,A,1094-6136,1099-1425,http://www.springerlink.com/
"Journal of Science and Technology Policy Management","Emerald Group Publishing",3507,C,2053-4620‎,2053-4639,
"Journal of Selling","Northern Illinois University ",3506,C,2329-7751,,
"Journal of Service Management","Emerald Group Publishing",3507,A,1757-5818,1757-5826,http://www.emeraldinsight.com/journal/josm
"Journal of Service Research","Sage Publications",3506,A*,1094-6705,1552-7379,http://jsr.sagepub.com/
"Journal of Service Theory and Practice","Emerald Group Publishing",3506,A,2055-6225,2055-6233,
"Journal of Services Marketing","Emerald Group Publishing",3506,A,0887-6045,2054-1651,
"Journal of Services Research","UMAK Education Trust",3506,C,0972-4702,2581-3412,
"Journal of Simulation","Taylor & Francis Online",3503,B,1747-7778,1747-7786,
"Journal of Small Business and Enterprise Development","Emerald Group Publishing",3507,C,1462-6004,1758-7840,
"Journal of Small Business and Entrepreneurship","Taylor & Francis Online",3507,C,0827-6331,2169-2610,
"Journal of Small Business Management","Wiley-Blackwell Publishing",3507,A,0047-2778,1540-627X,
"Journal of Small Business Strategy","Middle Tennessee State University",3507,C,1081-8510,2380-1751,
"Journal of Social and Economic Development","Springer International Publishing",3801,C,0972-5792,2199-6873,
"Journal of Social Entrepreneurship","Taylor & Francis Online",3507,B,1942-0676,1942-0684,
"Journal of Social Issues","Wiley-Blackwell Publishing",3507,A,0022-4537,1540-4560,
"Journal of Social Marketing","Emerald Group Publishing Limited",3506,B,2042-6763,2042-6771,
"Journal of Social Policy","Cambridge University Press",3507,A,0047-2794,1469-7823,
"Journal of Social Psychology","Taylor & Francis Online",3507,B,0022-4545,1940-1183,
"Journal of Social, Political and Economic Studies","Council for Social and Economic Studies, Inc.",3801,C,0278-839X,,
"Journal of Sociology","Sage Publications",3507,B,1440-7833,1741-2978,http://jos.sagepub.com/
"Journal of Software Maintenance and Evolution: Research and practice","Wiley-Blackwell Publishing",4609,C,1532-060X,1532-0618,
"Journal of South Asian Development","Sage Publications",3801,C,0973-1741,0973-1733,http://sad.sagepub.com/
"Journal of Southeast Asian Economies","ISEAS-Yusof Ishak Institute",3801,C,2339-5095,2339-5206,
"Journal of Southeast Asian Studies","Cambridge University Press",3503,C,0022-4634,1474-0680,http://journals.cambridge.org/action/displayJournal?jid=SEA
"Journal of Sponsorship","Henry Stewart Publications",3506,C,1754-1360,1754-1379,http://www.jdb.uzh.ch/18417/
"Journal of Sport and Social Issues","Sage Publications",3504,B,0193-7235,1552-7638,http://jss.sagepub.com/
"Journal of Sport and Tourism","Taylor & Francis Online",3508,B,1477-5085,1029-5399,http://www.tandfonline.com/rjto
"Journal of Sport Behavior","University of South Alabama",3504,B,0162-7341,2641-3477,
"Journal of Sport for Development",jfsd.org,3504,B,,2330-0574,
"Journal of Sport History","University of Illinois Press",3504,C,0094-1700,,
"Journal of Sport Management","Human Kinetics Publishers, Inc.",3504,A,0888-4773,1543-270X,
"Journal of Sports Economics","Sage Publications",3899,B,1527-0025,1552-7794,http://jse.sagepub.com/
"Journal of State Taxation","Panel Publishers",4801,C,0744-6713,,http://ezproxy.sl.nsw.gov.au/login?url=http://search.proquest.com/publication/31512
"Journal of Statistical Computation and Simulation","Taylor & Francis Online",4905,C,0094-9655,1563-5163,http://www.tandfonline.com/gscs
"Journal of Statistical Planning and Inference",Elsevier,4905,A,0378-3758,1873-1171,http://www.journals.elsevier.com/journal-of-statistical-planning-and-inference
"Journal of Statistical Research","Institute of Statistical Research and Training, University of Dacca, Bangladesh",4905,C,0256-422X,,
"Journal of Statistical Software","Foundation for Open Access Statistics",4905,A,1548-7660,,
"Journal of Statistical Theory and Applications","Atlantis Press",4905,C,1538-7887,2214-1766,
"Journal of Statistics and Management Systems","Taylor & Francis Online",4905,C,0972-0510,2169-0014,http://www.tandfonline.com/tsms
"Journal of Statistics Education","Taylor & Francis Online",4905,B,1069-1898,,
"Journal of Strategic Information Systems",Elsevier,4609,A*,0963-8687,1873-1198,
"Journal of Strategic Marketing","Taylor & Francis Online",3506,A,0965-254X,1466-4488,http://www.tandfonline.com/toc/rjsm20/current
"Journal of Strategy and Management","Emerald Group Publishing",3507,C,1755-425X,1755-425X,http://www.emeraldinsight.com/
"Journal of Supply Chain Management","Wiley-Blackwell Publishing",3509,A,1523-2409,1745-493X,
"Journal of Sustainable Tourism","Taylor & Francis Online",3508,A*,0966-9582,1747-7646,http://www.tandfonline.com/toc/rsus20/current
"Journal of Systems and Information Technology","Emerald Group Publishing",4609,B,1328-7265,1758-8847,
"Journal of Systems and Software",Elsevier,4609,B,0164-1212,1873-1228,http://www.journals.elsevier.com/journal-of-systems-and-software/
"Journal of Targeting, Measurement and Analysis for Marketing","Henry Stewart Publications",3506,C,0967-3237,1479-1862,
"Journal of Tax Administration","University of Exeter Business School",4801,B,2059-190X,,
"Journal of Taxation","Thomson Reuters",4801,B,0022-4863,,http://ria.thomsonreuters.com/
"Journal of Taxation of Investments","Civic Research Institute",4801,C,0747-9115,1933-933X,http://www.civicresearchinstitute.com/
"Journal of Teaching in International Business","Taylor & Francis Online",3507,C,0897-5930,1528-6991,http://www.tandfonline.com/wtib
"Journal of Teaching in Travel & Tourism","Wiley-Blackwell Publishing",3508,B,1531-3220,1531-3239,
"Journal of Technology Management & Innovation","Universidad Alberto Hurtado",3507,C,,0718-2724,
"Journal of Technology Management in China","Emerald Group Publishing",3507,C,1746-8779,1746-8787,http://www.emeraldinsight.com/
"Journal of Technology Transfer","Springer International Publishing",3507,B,0892-9912,1573-7047,
"Journal of the Academy of Marketing Science","Springer International Publishing",3506,A*,0092-0703,1552-7824,http://www.springerlink.com/
"Journal of the ACM","Association for Computing Machinery",4609,C,0004-5411,1557-735X,
"Journal of the American Medical Informatics Association","Oxford University Press",4609,A,1067-5027,1527-974X,http://www.ncbi.nlm.nih.gov/
"Journal of the American Statistical Association","Taylor & Francis Online",4905,A*,0162-1459,1537-274X,
"Journal of the American Taxation Association","American Accounting Association",4801,A,0198-9073,1558-8017,http://aaajournals.org/loi/atax
"Journal of the Asia Pacific Centre for Environmental Accountability","The University of South Australia",3501,C,1448-6679,,http://catalogue.nla.gov.au/Record/2489013
"Journal of the Asia Pacific Economy","Taylor & Francis Online",3801,B,1354-7860,1469-9648,http://www.tandfonline.com/rjap
"Journal of the Association for Consumer Research","University of Chicago Press",3506,B,2378-1815,2378-1823,
"Journal of the Association for Information Science and Technology","Wiley-Blackwell Publishing",4609,A*,1532-2882,1532-2890,
"Journal of the Association for Information Systems","Association for Information Systems (AIS)",4609,A*,1536-9323,1558-3457,http://aisel.aisnet.org/jais/
"Journal of the Association of Environmental and Resource Economists ","University of Chicago Press",3801,A,2333-5955,2333-5963,
"Journal of the Australasian Law Academics Association","The University of Melbourne",4801,B,1836-5612,,
"Journal of the Australasian Tax Teachers Association","University of New South Wales",4801,B,1832-911X,,
"Journal of the Economic and Social History of the Orient",Brill,3801,B,0022-4995,1568-5209,http://booksandjournals.brillonline.com/content/journals/15685209
"Journal of the Economics of Ageing",Elsevier,3801,B,2212-828X,,
"Journal of the European Economic Association","Oxford University Press",3801,A*,1542-4766,1542-4774,
"Journal of the History of Economic Thought","Cambridge University Press",3803,B,1053-8372,1469-9656,http://journals.cambridge.org/
"Journal of the International Academy of Hospitality Research","International Academy of Hospitality Research",3504,C,,,
"Journal of the Japan Statistical Society","Japan Statistical Society",4905,C,0389-5602,1348-6365,
"Journal of the Japanese and International Economies",Elsevier,3801,A,0889-1583,1095-8681,http://www.journals.elsevier.com/journal-of-the-japanese-and-international-economies
"Journal of the Knowledge Economy","Springer International Publishing",3899,C,1868-7865,1868-7873,http://www.springer.com/economics/policy/journal/13132
"Journal of the New Economic Association","New Economic Association",3899,C,2221-2264,,
"Journal of the Operational Research Society","Springer International Publishing",3507,A,0160-5682,1476-9360,http://www.springer.com/business+%26+management/journal/41274
"Journal of the Operations Research Society of Japan","International Academic Publishing Co. Ltd - The Operations Research Society of Japan",3507,B,0453-4514,0453-4514,
"Journal of the Royal Statistical Society, Series A (Statistics in Society)","Wiley-Blackwell Publishing",4905,A,,1467-985X,
"Journal of the Royal Statistical Society, Series B (Statistical Methodology)","Wiley-Blackwell Publishing",4905,A*,,1467-9868,
"Journal of the Royal Statistical Society, Series C (Applied Statistics)","Wiley-Blackwell Publishing",4905,A,,1467-9876,
"Journal of the Royal Statistical Society, Series D (The Statistician)","Wiley-Blackwell Publishing",4905,A,,1467-9884,
"Journal of the Statistical and Social Inquiry Society of Ireland","School of Mathematical Sciences, University College Dublin",4905,C,0081-4776,,
